data
262
261
261
262
263
264
266
266
266
266
265
265
265
264
263
261
258
257
256
257
256
256
255
255
257
257
258
258
259
260
260
261
261
261
261
262
262
263
262
262
262
261
260
260
264
272
275
275
275
275
275
274
275
274
272
273
272
273
272
261
252
244
237
220
213
213
218
227
233
244
252
259
262
263
264
264
264
264
264
264
264
265
265
265
265
265
266
266
266
266
265
265
265
262
262
261
261
260
260
260
259
259
259
258
257
257
258
257
257
257
257
257
257
257
254
254
254
254
257
257
915
918
917
917
916
917
917
917
917
917
918
917
919
917
918
918
917
918
917
917
917
916
916
917
917
917
916
917
916
916
916
916
916
916
917
917
916
918
917
917
918
918
917
916
916
917
917
916
916
915
915
915
914
915
915
915
915
914
914
914
913
913
914
916
916
915
916
916
916
916
917
917
916
916
915
915
914
915
915
915
913
914
914
914
914
916
916
915
915
915
914
914
914
913
914
914
914
913
914
915
914
913
916
914
913
915
913
914
914
913
915
914
915
913
914
915
915
914
913
913
913
914
913
914
912
913
912
913
912
913
913
912
912
912
912
913
913
912
913
912
912
912
913
913
913
913
912
913
913
911
911
912
912
912
913
912
913
913
912
912
913
911
912
911
912
911
911
911
911
912
911
911
911
910
911
840
375
309
289
279
273
270
267
265
263
263
262
261
261
260
260
260
259
259
259
259
259
259
259
258
259
261
257
260
259
256
254
247
230
216
211
208
210
208
209
210
211
210
210
209
208
213
222
228
231
232
234
237
241
244
245
246
240
237
240
242
244
245
246
246
246
246
246
246
245
245
245
243
241
242
240
240
240
239
239
238
236
235
235
235
234
236
237
239
240
241
241
243
242
243
243
244
244
244
244
245
245
244
245
243
243
242
242
241
240
240
239
240
238
238
238
237
238
237
238
238
238
237
238
238
239
239
241
242
243
244
244
24
